"year","product_code","product_name","total_DDD"
"2023","0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",22876.6198704104
"2023","0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",193347.282217423
"2023","0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",188.984881209503
"2023","0402030K0BBAAAC","Camcolit 250 tablets",224.419546436285
"2023","0402030K0BBABAF","Camcolit 400 modified-release tablets",358805.345572354
"2023","0402030K0BDAAAG","Liskonum 450mg modified-release tablets",72712.9454643629
"2023","0402030K0BFAAAF","Priadel 400mg modified-release tablets",6175256.02951764
"2023","0402030K0BFABAI","Priadel 200mg modified-release tablets",2597275.91792657
"2023","0402030K0BGAAAF","Lithonate 400mg modified-release tablets",53.5457163426926
"2023","0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",16025.2214918548
"2023","0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",2927.58645327236
"2023","0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",6996.50733542917
"2023","0402030P0BCAAAI","Priadel 520mg/5ml liquid",110525.63589597
"2023","0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",19504.6962227303
"2023","0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",7767.49904734686
"2024","0402030K0AAACAC","Lithium carbonate 250mg tablets",143838.305435565
"2024","0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",424016.828653708
"2024","0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",21788.2694384449
"2024","0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",167694.834413247
"2024","0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",77.1688264938805
"2024","0402030K0BBABAF","Camcolit 400 modified-release tablets",321057.86537077
"2024","0402030K0BDAAAG","Liskonum 450mg modified-release tablets",67169.4451943844
"2024","0402030K0BFAAAF","Priadel 400mg modified-release tablets",6169746.67026638
"2024","0402030K0BFABAI","Priadel 200mg modified-release tablets",2514931.83045356
"2024","0402030K0BGAAAF","Lithonate 400mg modified-release tablets",9.44924406047516
"2024","0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",12894.7318281414
"2024","0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",2214.78279508431
"2024","0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",5934.57535486329
"2024","0402030P0BCAAAI","Priadel 520mg/5ml liquid",109501.066971516
"2024","0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",19101.2590502048
"2024","0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",8164.99618938744
