Trust Code,Trust Name,Region,ICB,Predecessors,Successors,Total Quantity,Unit
RWW,"Warrington And Halton Teaching Hospitals NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",4871.205351312188,"DDD (24.0 mmol)"
RWG,"West Hertfordshire Teaching Hospitals NHS Trust","East Of England","NHS Hertfordshire And West Essex","","",10598.475008695677,"DDD (24.0 mmol)"
RKL,"West London NHS Trust","London","NHS North West London","","",140222.680053196,"DDD (24.0 mmol)"
RA3,"Weston Area Health NHS Trust","South West","NHS England South West (South West North)","","RA7",0,""
RGR,"West Suffolk NHS Foundation Trust","East Of England","NHS Suffolk And North East Essex","","",6836.051548403181,"DDD (24.0 mmol)"
RKE,"Whittington Health NHS Trust","London","NHS North Central London","","",8533.352070854065,"DDD (24.0 mmol)"
RY7,"Wirral Community Health And Care NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",0,""
RBL,"Wirral University Teaching Hospital NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",13180.228283837865,"DDD (24.0 mmol)"
RWP,"Worcestershire Acute Hospitals NHS Trust","Midlands","NHS Herefordshire And Worcestershire","","",9763.974740550353,"DDD (24.0 mmol)"
RRF,"Wrightington, Wigan And Leigh Teaching Hospitals NHS Foundation Trust","North West","NHS Greater Manchester","","",3968.461175238381,"DDD (24.0 mmol)"
RLQ,"Wye Valley NHS Trust","Midlands","NHS Herefordshire And Worcestershire","","",2339.0220676362446,"DDD (24.0 mmol)"
RA4,"Yeovil District Hospital NHS Foundation Trust","South West","NHS Somerset","","RH5",0,""
RCB,"York And Scarborough Teaching Hospitals NHS Foundation Trust","North East And Yorkshire","NHS Humber And North Yorkshire","","",8349.954218812083,"DDD (24.0 mmol)"
